source,target
81029389,82000539
81029389,82000543
81029389,82000549
81029389,82000553
81029389,82000555
81029389,82000558
81029389,82000559
81029389,82000560
81029389,82000561
81029389,82000562
81029389,82000563
81029389,82000564
81029389,82000567
81029389,82000569
81029389,82000570
81029389,82000571
81029389,82000572
81029389,82000573
81029389,82000574
81029389,82000575
81029389,82000576
81029389,82000577
81029389,82000578
81029389,82000584
81029389,82000586
81029389,82000587
81029389,82000588
81029389,82000590
81029389,82000593
81029389,82000594
81029389,82000595
81029389,82000597
81029389,82000603
81029389,82000604
81029389,82000607
81029389,82000615
81029389,82000624
81029389,82000626
81029389,82000631
81029389,82000632
81029389,82000635
81029389,82000642
81029389,82000648
81029389,82000649
81029389,82000650
81029389,82000651
81029389,82000659
81029389,82000663
81029389,82000665
81029389,82000667
81029389,82000670
81029389,82000671
81029389,82000672
81029389,82000674
81029389,82000676
81029389,82000679
81029389,82000683
81029389,82000685
81029389,82000687
81029389,82000688
81029389,82000689
81029389,82000691
81029389,82000693
81029389,82000696
81029389,82000697
81029389,82000699
81029389,82000705
81029389,82000710
81029389,82000712
81029389,82000715
81029389,82000716
81029389,82000717
81029389,82000719
81029389,82000720
81029389,82000721
81029389,82000722
81029389,82000724
81029389,82000725
81029389,82000726
81029389,82000727
81029389,82000729
81029389,82000730
81029389,82000731
81029389,82000733
81029389,82000734
81029389,82000736
81029389,82000737
81029389,82000738
81029389,82000742
81029389,82000743
81029389,82000747
81029389,82000758
81029389,82000761
81029389,82000764
81029389,82000765
81029389,82000768
81029389,82000770
81029389,82000771
81029389,82000772
81029389,82000775
81029389,82000779
81029389,82000783
81029389,82000785
81029389,82000787
81029389,82000795
81029389,82000797
81029389,82000799
81029389,82000800
81029389,82000801
81029389,82000810
81029389,82000812
81029389,82000813
81029389,82000814
81029389,82000819
81029389,82000821
81029389,82000835
81029389,82000837
81029389,82000840
81029389,82000841
81029389,82000843
81029389,82000844
81029389,82000845
81029389,82000846
81029389,82000847
81029389,82000850
81029389,82000851
81029389,82000852
81029389,82000853
81029389,82000854
81029389,82000856
81029389,82000857
81029389,82000861
81029389,82000863
81029389,82000865
81029389,82000868
81029389,82000869
81029389,82000870
81029389,82000871
81029389,82000876
81029389,82000884
81029389,82000891
81029389,82000893
81029389,82000894
81029389,82000902
81029389,82000907
81029389,82000909
81029389,82000911
81029389,82000912
81029389,82000920
81029389,82000921
81029389,82000928
81029389,82000933
81029389,82000935
81029389,82000936
81029389,82000939
81029389,82000940
81029389,82000946
81029389,82000947
81029389,82000949
81029389,82000950
81029389,82000951
81029389,82000952
81029389,82000953
81029389,82000955
81029389,82000956
81029389,82000957
81029389,82000958
81029389,82000961
81029389,82000962
81029389,82000963
81029389,82000966
81029389,82000968
81029389,82000970
81029389,82000975
81029389,82000977
81029389,82000979
81029389,82000980
81029389,82000988
81029389,82000989
81029389,82000998
81029389,82001000
81029389,82001010
81029389,82001013
81029389,82001020
81029389,82001022
81029389,82001026
81029389,82001030
81029389,82001032
81029389,82001033
81029389,82001039
81029389,82001041
81029389,82001042
81029389,82001053
81029389,82001054
81029389,82001055
81029389,82001058
81029389,82001064
81029389,82001065
81029389,82001066
81029389,82001070
81029389,82001071
81029389,82001072
81029389,82001075
81029389,82001079
81029389,82001083
81029389,82001098
81029389,82001114
