source,target
24883,163235
24883,163236
24883,163238
24883,163297
24883,163306
24883,163308
24883,158148
24883,158300
24883,156058
24883,156224
24883,130785
24883,128293
24883,125338
24883,129807
24883,129719
24883,130075
24883,126744
24883,127969
24883,163708
24883,163675
24883,163752
24883,163812
24883,163813
24883,165300
24883,165301
24883,165306
24883,165311
24883,165325
24883,165331
24883,165334
24883,165366
24883,165398
24883,165400
24883,165433
24883,165458
24883,165533
24883,165558
24883,165569
24883,165597
24883,165637
24883,165659
24883,165665
24883,165696
24883,165713
24883,165725
24883,165733
24883,165764
24883,165766
24883,165770
24883,165789
24883,165812
24883,165821
24883,165853
24883,163384
24883,163435
24883,163439
24883,163470
24883,163484
24883,163493
24883,163518
24883,163526
24883,163539
24883,163547
24883,163557
24883,163558
24883,163560
24883,163570
24883,163576
24883,163573
24883,163605
24883,163619
24883,163625
24883,163653
24883,163665
24883,162110
24883,162139
24883,162141
24883,162150
24883,162159
24883,162161
24883,162242
24883,162259
24883,162260
24883,162285
24883,162329
24883,162337
24883,162347
24883,123747
24883,123783
24883,164703
24883,164718
24883,164722
24883,164778
24883,164828
24883,164829
24883,164878
24883,164880
24883,164904
24883,164933
24883,164980
24883,165027
24883,165038
24883,165050
24883,165052
24883,165057
24883,165072
24883,165075
24883,165078
24883,165110
24883,165112
24883,165114
24883,165139
24883,165146
24883,165177
24883,165220
24883,165221
24883,165239
24883,165248
24883,166642
24883,166775
24883,166783
24883,166823
24883,166834
24883,166855
24883,166881
24883,166894
24883,129403
24883,166209
24883,166218
24883,166236
24883,166245
24883,166247
24883,166269
24883,166283
24883,166284
24883,166285
24883,166326
24883,166328
24883,166344
24883,166368
24883,166371
24883,166372
24883,166396
24883,166437
24883,166438
24883,166578
24883,166582
24883,164395
24883,164418
24883,164462
24883,164472
24883,164502
24883,164513
24883,164516
24883,164569
24883,164570
24883,164576
24883,164596
24883,164148
24883,164159
24883,164160
24883,164166
24883,164228
24883,164230
24883,164233
24883,164280
24883,164283
24883,164286
24883,164302
24883,130643
24883,130740
24883,162688
24883,162691
24883,162692
24883,162700
24883,162744
24883,162747
24883,162752
24883,162791
24883,162797
24883,162802
24883,162803
24883,162817
24883,162848
24883,162872
24883,162920
24883,162942
24883,162936
24883,162986
24883,163000
24883,163001
24883,163005
24883,163006
24883,162361
24883,162362
24883,162364
24883,162366
24883,162402
24883,162448
24883,162455
24883,162513
24883,162535
24883,162568
24883,162588
24883,162603
24883,162628
24883,166972
24883,166999
24883,156545
24883,129648
24883,129669
24883,127845
24883,127344
24883,127503
24883,130667
24883,130094
24883,130619
24883,130489
24883,130522
24883,123995
24883,163806
24883,163244
24883,163356
24883,163584
24883,163685
24883,163639
24883,163792
24883,164605
24883,164509
24883,164583
24883,164403
24883,165021
24883,236724
145715,111293
145715,54662
145715,50622
145715,75595
145715,236724
141619,43724
141619,54662
141619,75595
141619,236724
145716,54662
145716,50622
145716,75595
145716,236724
164148,43724
164148,54662
164148,75595
164148,236724
141627,54662
141627,75595
141627,236724
141627,236748
141628,43724
141628,54662
141628,75595
141628,236724
133438,43724
133438,54662
133438,75595
133438,236724
145727,43724
145727,54662
145727,50622
145727,75595
145727,236724
162110,43724
162110,54662
162110,75595
162110,236724
164159,43724
164159,54662
164159,75595
164159,236724
164160,43724
164160,54662
164160,75595
164160,236724
166209,43724
166209,54662
166209,75595
166209,236724
295237,151518
141638,54662
141638,75595
141638,236724
141638,236748
164166,43724
164166,54662
164166,75595
164166,236724
166218,43724
166218,54662
166218,75595
166218,236724
82012498,81010180
82012498,80011987
82012498,80012109
133460,43724
133460,54662
133460,75595
133460,236724
82012501,81010180
82012501,80011987
82012501,80012109
82012504,81010180
82012504,80011987
82012504,80012109
119129,145779
119129,145785
119129,146741
119129,158483
119129,128293
119129,123747
119129,123783
82012505,81010180
82012505,80011987
82012505,80012109
162139,43724
162139,54662
162139,75595
162139,236724
166236,43724
166236,54662
166236,75595
166236,236724
162141,43724
162141,54662
162141,75595
162141,236724
82012515,81010180
82012515,80011987
82012515,80012109
166245,43724
166245,54662
166245,75595
166245,236724
145766,296719
145766,54662
145766,50622
145766,75595
145766,236724
162150,43724
162150,54662
162150,75595
162150,236724
166247,43724
166247,54662
166247,75595
166247,236724
162159,111293
162159,54662
162159,75595
162159,236724
127344,54662
127344,75595
127344,236724
127344,237076
162161,43724
162161,54662
162161,75595
162161,236724
145779,54662
145779,50622
145779,75595
145779,236724
145785,54662
145785,50622
145785,75595
145785,236724
129403,290352
129403,54662
129403,236724
129403,237076
129403,113638
141691,54662
141691,75595
141691,236724
141691,236748
145789,54662
145789,48909
145789,75595
145789,236724
166269,43724
166269,54662
166269,75595
166269,236724
141697,296719
141697,54662
141697,50622
141697,236724
141697,236748
164228,43724
164228,54662
164228,75595
164228,236724
164230,43724
164230,54662
164230,75595
164230,236724
164233,43724
164233,54662
164233,75595
164233,236724
166283,43724
166283,54662
166283,75595
166283,236724
166284,43724
166284,54662
166284,75595
166284,236724
166285,43724
166285,54662
166285,75595
166285,236724
145810,43724
145810,54662
145810,75595
145810,236724
145816,54662
145816,50622
145816,75595
145816,236724
156058,43724
156058,54662
156058,50622
156058,75595
156058,236724
145818,54662
145818,50622
145818,75595
145818,236724
147869,290352
147869,54662
147869,50622
147869,236724
147869,237076
125338,43724
125338,54662
125338,75595
125338,236724
149919,54662
149919,50622
149919,75595
149919,236724
149919,237076
156071,294268
156071,54662
156071,75595
156071,50622
156071,236724
145832,43724
145832,54662
145832,50622
145832,75595
145832,236724
166326,43724
166326,54662
166326,75595
166326,236724
145848,43724
145848,54662
145848,75595
145848,236724
164280,43724
164280,54662
164280,75595
164280,236724
166328,111293
166328,54662
166328,75595
166328,236724
164283,111293
164283,54662
164283,75595
164283,236724
164286,111293
164286,54662
164286,75595
164286,236724
162242,43724
162242,54662
162242,75595
162242,236724
158148,296719
158148,54662
158148,75595
158148,236724
166342,43724
166342,54662
166342,75595
166342,50622
166342,236724
166344,43724
166344,54662
166344,75595
166344,236724
145867,111293
145867,54662
145867,75595
145867,236724
145868,43724
145868,54662
145868,75595
145868,236724
135629,111293
135629,54662
135629,75595
135629,236724
154060,294268
154060,54662
154060,75595
154060,50622
154060,236724
164302,43724
164302,54662
164302,75595
164302,236724
49616,133822
49616,123348
49616,124591
49616,126821
49616,124841
49616,123993
49616,168730
162259,43724
162259,54662
162259,75595
162259,236724
162260,296719
162260,54662
162260,75595
162260,236724
123348,296719
123348,54662
123348,236724
123348,113638
166368,43724
166368,54662
166368,75595
166368,236724
166371,43724
166371,54662
166371,75595
166371,236724
166372,43724
166372,54662
166372,75595
166372,236724
143846,43724
143846,54662
143846,75595
143846,236724
145898,54662
145898,50622
145898,75595
145898,236724
162285,43724
162285,54662
162285,75595
162285,236724
143860,43724
143860,54662
143860,75595
143860,236724
154102,54662
154102,75595
154102,50622
154102,236724
160250,294268
160250,54662
160250,75595
160250,50622
160250,236724
145915,54662
145915,50622
145915,75595
145915,236724
166396,43724
166396,54662
166396,75595
166396,236724
143869,43724
143869,54662
143869,50622
143869,75595
143869,236724
145930,43724
145930,54662
145930,75595
145930,236724
145935,43724
145935,54662
145935,50622
145935,75595
145935,236724
145936,54662
145936,50622
145936,75595
145936,236724
127503,54662
127503,75595
127503,236724
127503,237076
145938,43724
145938,54662
145938,50622
145938,75595
145938,236724
49684,237148
147991,296719
147991,54662
147991,50622
147991,75595
147991,236724
145944,43724
145944,54662
145944,75595
145944,236724
162329,43724
162329,54662
162329,75595
162329,236724
143902,54662
143902,50622
143902,75595
143902,236724
162337,43724
162337,54662
162337,75595
162337,236724
145956,43724
145956,54662
145956,75595
145956,236724
166437,43724
166437,54662
166437,75595
166437,236724
145958,43724
145958,54662
145958,50622
145958,75595
145958,236724
148006,54662
148006,50622
148006,75595
148006,236724
166438,43724
166438,54662
166438,75595
166438,236724
145961,54662
145961,50622
145961,75595
145961,236724
162347,43724
162347,54662
162347,75595
162347,236724
164395,43724
164395,54662
164395,75595
164395,236724
148015,296719
148015,54662
148015,75595
148015,236724
164403,54662
164403,75595
164403,50622
164403,236724
158260,54662
158260,50622
158260,75595
158260,236724
145974,54662
145974,50622
145974,75595
145974,236724
154168,296719
154168,54662
154168,75595
154168,236724
162361,43724
162361,54662
162361,75595
162361,236724
162362,43724
162362,54662
162362,75595
162362,236724
162364,43724
162364,54662
162364,75595
162364,236724
162366,43724
162366,54662
162366,75595
162366,236724
156224,296719
156224,54662
156224,75595
156224,236724
164418,43724
164418,54662
164418,75595
164418,236724
135751,296719
135751,54662
135751,50622
135751,75595
135751,236724
143949,54662
143949,50622
143949,75595
143949,236724
145999,43724
145999,54662
145999,50622
145999,75595
145999,236724
146008,43724
146008,54662
146008,50622
146008,75595
146008,236724
158298,294268
158298,54662
158298,75595
158298,50622
158298,236724
158300,290352
158300,54662
158300,50622
158300,75595
158300,236724
162402,43724
162402,54662
162402,75595
162402,236724
141923,43724
141923,54662
141923,75595
141923,236724
146025,43724
146025,54662
146025,75595
146025,236724
146027,54662
146027,50622
146027,75595
146027,236724
141934,43724
141934,54662
141934,50622
141934,236724
154223,296719
154223,54662
154223,75595
154223,50622
154223,236724
164462,43724
164462,54662
164462,75595
164462,236724
129648,54662
129648,75595
129648,236724
129648,237076
143991,290240
143991,54662
143991,50622
143991,236748
143991,236724
164472,43724
164472,54662
164472,75595
164472,236724
146046,54662
146046,50622
146046,75595
146046,236724
146048,43724
146048,54662
146048,50622
146048,75595
146048,236724
146049,43724
146049,54662
146049,50622
146049,75595
146049,236724
129669,54662
129669,75595
129669,236724
129669,237076
154247,294268
154247,54662
154247,75595
154247,50622
154247,236724
96909,168730
146062,111293
146062,54662
146062,75595
146062,236724
146064,43724
146064,54662
146064,50622
146064,75595
146064,236724
146065,54662
146065,50622
146065,75595
146065,236724
162448,43724
162448,54662
162448,75595
162448,236724
146067,54662
146067,50622
146067,75595
146067,236724
152211,296719
152211,54662
152211,75595
152211,50622
152211,236724
146069,43724
146069,54662
146069,50622
146069,236724
146070,43724
146070,54662
146070,50622
146070,75595
146070,236724
141974,54662
141974,75595
141974,236724
141974,236748
148120,54662
148120,50622
148120,75595
148120,236724
162455,43724
162455,54662
162455,75595
162455,236724
164502,43724
164502,54662
164502,75595
164502,236724
139931,43724
139931,54662
139931,75595
139931,236724
164509,54662
164509,75595
164509,50622
164509,236724
164513,43724
164513,54662
164513,50622
164513,75595
164513,236724
164516,43724
164516,54662
164516,75595
164516,236724
146096,43724
146096,54662
146096,50622
146096,75595
146096,236724
166578,43724
166578,54662
166578,75595
166578,236724
146100,54662
146100,50622
146100,75595
146100,236724
146101,54662
146101,50622
146101,75595
146101,236724
166582,43724
166582,54662
166582,75595
166582,236724
144055,111293
144055,54662
144055,75595
144055,236724
129719,296719
129719,54662
129719,75595
129719,236724
111293,134906
111293,140033
111293,140335
111293,145322
111293,146584
111293,146700
111293,147119
111293,162747
111293,162791
111293,163410
111293,163752
111293,163812
111293,164569
111293,164570
111293,164829
111293,164904
111293,165248
111293,165325
111293,165533
111293,165713
111293,166894
111293,166972
142013,43724
142013,54662
142013,75595
142013,236724
142013,236748
133822,54662
133822,113638
133822,48909
133822,236724
148169,43724
148169,54662
148169,50622
148169,75595
148169,236724
43724,131806
43724,132215
43724,132400
43724,132541
43724,132725
43724,132727
43724,132976
43724,133051
43724,133059
43724,133892
43724,134417
43724,134719
43724,137199
43724,138300
